id,Name,Minimum players,Maximum players,Average game time,Year released,Mechanics,Category,Designer,More info URL
4404,Renegade Legion: Interceptor,2,4,120,1987,Hex-and-Counter,Science Fiction,"L. Ross Babcock, III, Albie Fiore, Sam Lewis, Jordan Weisman, Dave Wylie",https://boardgamegeek.com/boardgame/2520/renegade-legion-interceptor
4911,Viking Raiders,2,2,240,1987,"Hex-and-Counter, Simulation","Medieval, Wargame","Jean-Michel Clément, Yves Fagherazzi, David Levell, Duccio Vitale",https://boardgamegeek.com/boardgame/6926/viking-raiders
4940,La Bataille d'Albuera: Espagnol,1,2,0,1987,Hex-and-Counter,"Napoleonic, Wargame","Monte Mattson, Dennis A. Spors, Ed Wimble",https://boardgamegeek.com/boardgame/13520/la-bataille-dalbuera-espagnol
4995,Onslaught,2,2,240,1987,"Action Point Allowance System, Hex-and-Counter","Wargame, World War II",Douglas Niles,https://boardgamegeek.com/boardgame/4287/onslaught
667,Merchant of Venus,1,6,180,1988,"Commodity Speculation, Dice Rolling, Pick-up and Deliver, Point to Point Movement, Roll / Spin and Move","Economic, Exploration, Science Fiction, Space Exploration, Transportation",Richard Hamblen,https://boardgamegeek.com/boardgame/230/merchant-venus
1209,SET,2,20,30,1988,"Pattern Recognition, Set Collection","Card Game, Puzzle, Real-time",Marsha J. Falco,https://boardgamegeek.com/boardgame/1198/set
1361,Inkognito,3,5,90,1988,"Partnerships, Point to Point Movement, Roll / Spin and Move","Deduction, Spies/Secret Agents","Leo Colovini, Alex Randolph",https://boardgamegeek.com/boardgame/466/inkognito
1477,Full Metal Planète,2,4,90,1988,Action Point Allowance System,Science Fiction,"Gérard Delfanti, Gérard Mathieu, Pascal Trigaux",https://boardgamegeek.com/boardgame/20/full-metal-planete
1581,Blood Bowl (Second Edition),2,2,180,1988,"Dice Rolling, Grid Movement, Variable Player Powers","Fantasy, Fighting, Sports","Marc Gascoigne, Jervis Johnson",https://boardgamegeek.com/boardgame/2288/blood-bowl-second-edition
1700,Angola,2,4,480,1988,"Area Control / Area Influence, Campaign / Battle Card Driven, Partnerships, Secret Unit Deployment","Civil War, Modern Warfare, Wargame",Phil Kendall,https://boardgamegeek.com/boardgame/4688/angola
